State,Hispanic_AnxDep,Hispanic_Insurance,COVID_Cases,COVID_Deaths,Unemployment_Claims
Minnesota,13.4974,2.0328,16719,96,17571
Mississippi,18.9658,5.9664,2972,36,10067
Missouri,17.6204,4.356,5959,50,14815
Montana,14.8862,2.376,152,0,2476
Nebraska,13.4106,3.036,17200,130,5877
Nevada,19.4432,5.28,10069,164,11636
New Hampshire,15.4938,1.9008,1055,20,3731
New Jersey,16.5788,2.508,62336,5291,36954
New Mexico,18.7922,3.8808,7702,118,5163
New York,17.2298,2.4816,0,13126,79717
North Carolina,16.6656,4.4616,42481,250,24019
North Dakota,14.1484,2.2968,0,0,1394
Ohio,15.1466,3.036,8428,124,29822
Oklahoma,18.6186,6.204,6220,28,8187
Oregon,17.2298,3.6696,6565,50,9453
Pennsylvania,16.1448,2.2968,14300,774,38093
Rhode Island,15.1032,1.32,11728,162,2815
South Carolina,16.7524,5.2536,8369,57,15123
South Dakota,15.2768,4.1976,2198,0,879
Tennessee,18.1846,5.3592,24121,111,20134
Texas,18.0544,7.0224,16978,366,95406
Utah,15.0598,2.4552,20336,86,4112
Vermont,13.9748,1.6632,83,0,1588
Virginia,16.709,3.1944,43806,399,27479
Washington,18.228,2.4288,22212,325,32198
West Virginia,15.0164,3.1944,0,0,3171
Wisconsin,14.7994,2.244,18276,181,24187
Wyoming,15.624,4.7256,376,2,1210
Alabama,17.644,3.4928,9219,67,18960
Alaska,17.424,2.7612,157,0,6933
Arizona,19.448,3.9412,54149,988,21487
Arkansas,19.844,4.6964,13089,55,12894
California,19.58,2.7848,214318,5735,246218
Colorado,17.248,2.9028,24678,678,8179
Connecticut,15.708,2.2892,17906,751,9267
Delaware,15.136,2.4308,6832,64,2523
Florida,19.184,4.4604,129602,2101,103632
Georgia,19.184,4.012,32922,314,111756
Hawaii,16.148,1.888,0,0,6535
Idaho,16.412,3.068,3864,16,4776
Illinois,14.96,1.6756,97115,2942,32013
Indiana,17.908,2.478,11371,100,19830
Iowa,12.716,1.4868,15282,102,8340
Kansas,15.488,2.8556,13571,72,9753
Kentucky,18.568,2.006,4129,45,21014
Louisiana,19.976,3.4456,0,130,25041
Maine,14.52,3.2804,270,0,2988
Maryland,14.784,1.77,38199,733,15753
Massachusetts,16.808,1.2744,43343,1147,18330
Michigan,15.664,1.7936,12106,251,22421
Minnesota,13.86,1.888,17588,111,16861
Mississippi,20.46,5.7112,3220,41,10422
Missouri,17.028,5.074,8033,51,12521
Montana,17.688,1.8172,183,0,2454
Nebraska,15.004,3.3512,17800,133,5100
Nevada,20.416,4.1536,11675,170,12949
New Hampshire,15.444,2.4308,1147,21,2764
New Jersey,18.48,4.012,63536,5359,27753
New Mexico,18.348,3.4456,9756,118,6021
New York,16.852,2.5724,0,13249,77271
North Carolina,16.852,2.7612,48185,271,24562
North Dakota,14.652,2.832,0,0,1477
Ohio,15.312,1.9588,9191,128,28320
Oklahoma,19.668,5.7112,7929,33,8382
Oregon,19.316,2.006,8181,56,9371
Pennsylvania,17.732,2.4072,14800,799,35479
Rhode Island,18.48,2.36,11798,162,2739
South Carolina,15.092,5.1212,10120,65,14391
South Dakota,15.268,3.4692,2240,0,852
